date,product_code,customer_code,sold_quantity,fiscal_year,year
2017-09-01,A0118150101,70002017.0,51.0,2018.0,2017
2017-09-01,A0118150101,70002018.0,77.0,2018.0,2017
2017-09-01,A0118150101,70003181.0,17.0,2018.0,2017
2017-09-01,A0118150101,70003182.0,6.0,2018.0,2017
2017-09-01,A0118150101,70006157.0,5.0,2018.0,2017
2017-09-01,A0118150101,70006158.0,7.0,2018.0,2017
2017-09-01,A0118150101,70007198.0,29.0,2018.0,2017
2017-09-01,A0118150101,70007199.0,34.0,2018.0,2017
2017-09-01,A0118150101,70008169.0,22.0,2018.0,2017
2017-09-01,A0118150101,70008170.0,5.0,2018.0,2017
2017-09-01,A0118150101,70011193.0,10.0,2018.0,2017
2017-09-01,A0118150101,70011194.0,4.0,2018.0,2017
2017-09-01,A0118150101,70012042.0,0.0,2018.0,2017
2017-09-01,A0118150101,70012043.0,0.0,2018.0,2017
2017-09-01,A0118150101,70013125.0,1.0,2018.0,2017
2017-09-01,A0118150101,70013126.0,1.0,2018.0,2017
2017-09-01,A0118150101,70016178.0,1.0,2018.0,2017
2017-09-01,A0118150101,70022085.0,20.0,2018.0,2017
2017-09-01,A0118150101,70023031.0,4.0,2018.0,2017
2017-09-01,A0118150101,80001019.0,10.0,2018.0,2017
2017-09-01,A0118150101,80006154.0,10.0,2018.0,2017
2017-09-01,A0118150101,80006155.0,28.0,2018.0,2017
2017-09-01,A0118150101,80007195.0,80.0,2018.0,2017
2017-09-01,A0118150101,90001021.0,1.0,2018.0,2017
2017-09-01,A0118150101,90002001.0,42.0,2018.0,2017
2017-09-01,A0118150101,90002002.0,40.0,2018.0,2017
2017-09-01,A0118150101,90002003.0,54.0,2018.0,2017
2017-09-01,A0118150101,90002005.0,77.0,2018.0,2017
2017-09-01,A0118150101,90002006.0,30.0,2018.0,2017
2017-09-01,A0118150101,90002007.0,67.0,2018.0,2017
2017-09-01,A0118150101,90002009.0,47.0,2018.0,2017
2017-09-01,A0118150101,90002010.0,58.0,2018.0,2017
2017-09-01,A0118150101,90002011.0,21.0,2018.0,2017
2017-09-01,A0118150101,90002013.0,17.0,2018.0,2017
2017-09-01,A0118150101,90002014.0,16.0,2018.0,2017
2017-09-01,A0118150101,90002015.0,32.0,2018.0,2017
2017-09-01,A0118150101,90003179.0,15.0,2018.0,2017
2017-09-01,A0118150101,90006153.0,9.0,2018.0,2017
2017-09-01,A0118150101,90007197.0,48.0,2018.0,2017
2017-09-01,A0118150101,90008165.0,9.0,2018.0,2017
2017-09-01,A0118150101,90008166.0,12.0,2018.0,2017
2017-09-01,A0118150101,90008167.0,10.0,2018.0,2017
2017-09-01,A0118150101,90011185.0,3.0,2018.0,2017
2017-09-01,A0118150101,90011186.0,2.0,2018.0,2017
2017-09-01,A0118150101,90011187.0,2.0,2018.0,2017
2017-09-01,A0118150101,90011189.0,5.0,2018.0,2017
2017-09-01,A0118150101,90011190.0,10.0,2018.0,2017
2017-09-01,A0118150101,90011191.0,14.0,2018.0,2017
2017-09-01,A0118150101,90012033.0,0.0,2018.0,2017
2017-09-01,A0118150101,90012034.0,0.0,2018.0,2017
2017-09-01,A0118150101,90012035.0,0.0,2018.0,2017
2017-09-01,A0118150101,90012037.0,0.0,2018.0,2017
2017-09-01,A0118150101,90012038.0,0.0,2018.0,2017
2017-09-01,A0118150101,90012039.0,0.0,2018.0,2017
2017-09-01,A0118150101,90012041.0,0.0,2018.0,2017
2017-09-01,A0118150101,90013117.0,1.0,2018.0,2017
2017-09-01,A0118150101,90013118.0,2.0,2018.0,2017
2017-09-01,A0118150101,90013119.0,2.0,2018.0,2017
2017-09-01,A0118150101,90013121.0,3.0,2018.0,2017
2017-09-01,A0118150101,90013122.0,3.0,2018.0,2017
2017-09-01,A0118150101,90013123.0,3.0,2018.0,2017
2017-09-01,A0118150101,90016173.0,1.0,2018.0,2017
2017-09-01,A0118150101,90016175.0,1.0,2018.0,2017
2017-09-01,A0118150101,90022071.0,21.0,2018.0,2017
2017-09-01,A0118150101,90022073.0,18.0,2018.0,2017
2017-09-01,A0118150101,90022074.0,39.0,2018.0,2017
2017-09-01,A0118150101,90022075.0,19.0,2018.0,2017
2017-09-01,A0118150101,90022077.0,10.0,2018.0,2017
2017-09-01,A0118150101,90022078.0,20.0,2018.0,2017
2017-09-01,A0118150101,90022079.0,29.0,2018.0,2017
2017-09-01,A0118150101,90022081.0,37.0,2018.0,2017
2017-09-01,A0118150101,90022082.0,6.0,2018.0,2017
2017-09-01,A0118150101,90022083.0,10.0,2018.0,2017
2017-09-01,A0118150101,90023022.0,5.0,2018.0,2017
2017-09-01,A0118150101,90023023.0,1.0,2018.0,2017
2017-09-01,A0118150101,90023025.0,1.0,2018.0,2017
2017-09-01,A0118150101,90023026.0,2.0,2018.0,2017
2017-09-01,A0118150101,90023027.0,1.0,2018.0,2017
2017-09-01,A0118150101,90023029.0,2.0,2018.0,2017
2017-09-01,A0118150101,90023030.0,4.0,2018.0,2017
2017-09-01,A0118150101,90027207.0,4.0,2018.0,2017
2017-10-01,A0118150101,70002017.0,54.0,2018.0,2017
2017-10-01,A0118150101,70002018.0,53.0,2018.0,2017
2017-10-01,A0118150101,70003181.0,22.0,2018.0,2017
2017-10-01,A0118150101,70003182.0,10.0,2018.0,2017
2017-10-01,A0118150101,70006157.0,4.0,2018.0,2017
2017-10-01,A0118150101,70006158.0,9.0,2018.0,2017
2017-10-01,A0118150101,70007198.0,12.0,2018.0,2017
2017-10-01,A0118150101,70008169.0,4.0,2018.0,2017
2017-10-01,A0118150101,70008170.0,22.0,2018.0,2017
2017-10-01,A0118150101,70011193.0,13.0,2018.0,2017
2017-10-01,A0118150101,70011194.0,8.0,2018.0,2017
2017-10-01,A0118150101,70013125.0,1.0,2018.0,2017
2017-10-01,A0118150101,70013126.0,4.0,2018.0,2017
2017-10-01,A0118150101,70016177.0,2.0,2018.0,2017
2017-10-01,A0118150101,70016178.0,2.0,2018.0,2017
2017-10-01,A0118150101,70022084.0,26.0,2018.0,2017
2017-10-01,A0118150101,70022085.0,28.0,2018.0,2017
2017-10-01,A0118150101,70023032.0,3.0,2018.0,2017
2017-10-01,A0118150101,70027208.0,5.0,2018.0,2017
2017-10-01,A0118150101,80006154.0,41.0,2018.0,2017
2017-10-01,A0118150101,80007196.0,52.0,2018.0,2017
2017-10-01,A0118150101,90001020.0,2.0,2018.0,2017
2017-10-01,A0118150101,90001021.0,5.0,2018.0,2017
2017-10-01,A0118150101,90002001.0,88.0,2018.0,2017
2017-10-01,A0118150101,90002002.0,71.0,2018.0,2017
2017-10-01,A0118150101,90002004.0,36.0,2018.0,2017
2017-10-01,A0118150101,90002005.0,55.0,2018.0,2017
2017-10-01,A0118150101,90002006.0,74.0,2018.0,2017
2017-10-01,A0118150101,90002008.0,32.0,2018.0,2017
2017-10-01,A0118150101,90002009.0,64.0,2018.0,2017
2017-10-01,A0118150101,90002010.0,40.0,2018.0,2017
2017-10-01,A0118150101,90002012.0,100.0,2018.0,2017
2017-10-01,A0118150101,90002013.0,22.0,2018.0,2017
2017-10-01,A0118150101,90002014.0,58.0,2018.0,2017
2017-10-01,A0118150101,90002016.0,45.0,2018.0,2017
2017-10-01,A0118150101,90003180.0,4.0,2018.0,2017
2017-10-01,A0118150101,90006153.0,12.0,2018.0,2017
2017-10-01,A0118150101,90006156.0,11.0,2018.0,2017
2017-10-01,A0118150101,90007197.0,53.0,2018.0,2017
2017-10-01,A0118150101,90008164.0,18.0,2018.0,2017
2017-10-01,A0118150101,90008165.0,13.0,2018.0,2017
2017-10-01,A0118150101,90008166.0,22.0,2018.0,2017
2017-10-01,A0118150101,90008168.0,19.0,2018.0,2017
